Stock, All Days, Up Days, Flat Days, Down Dayspsa_e.us.txt, 270, 121, 134, 134
ddr.us.txt, 3201, 1612, 1528, 1528
sva.us.txt, 3201, 1440, 1609, 1609
bsx.us.txt, 6418, 3025, 3144, 3144
gsvc.us.txt, 1646, 774, 833, 833
cna.us.txt, 3201, 1572, 1574, 1574
thc.us.txt, 9042, 4107, 4229, 4229
dhi.us.txt, 3201, 1537, 1633, 1633
bdn.us.txt, 3201, 1573, 1549, 1549
gjt.us.txt, 1029, 348, 335, 335
hgt.us.txt, 3201, 1435, 1601, 1601
egov.us.txt, 3201, 1583, 1484, 1484
aytu.us.txt, 16, 7, 7, 7
tpgh.us.txt, 16, 1, 4, 4
fngn.us.txt, 1931, 974, 925, 925
eigr.us.txt, 414, 190, 208, 208
syke.us.txt, 3201, 1538, 1613, 1613
fwrd.us.txt, 3201, 1636, 1538, 1538
refa.us.txt, 84, 13, 5, 5
bmch.us.txt, 1074, 520, 521, 521
apc.us.txt, 7855, 3647, 3875, 3875
nrg.us.txt, 3201, 1585, 1565, 1565
giga.us.txt, 3070, 1249, 1461, 1461
tail.us.txt, 152, 55, 85, 85
dewj.us.txt, 425, 9, 16, 16
gva.us.txt, 3201, 1594, 1583, 1583
prah.us.txt, 755, 400, 348, 348
ffnw.us.txt, 2541, 1227, 1178, 1178
mcrn.us.txt, 602, 308, 283, 283
tde.us.txt, 1751, 922, 763, 763
blw.us.txt, 3201, 1594, 1455, 1455
simo.us.txt, 3115, 1445, 1629, 1629
ddr_j.us.txt, 1314, 652, 578, 578
rbs.us.txt, 2540, 1257, 1175, 1175
mei.us.txt, 3201, 1614, 1535, 1535
ncom.us.txt, 670, 336, 301, 301
rgr.us.txt, 3201, 1619, 1544, 1544
xshd.us.txt, 236, 70, 122, 122
sglbw.us.txt, 131, 43, 34, 34
fnfv.us.txt, 848, 425, 378, 378
prgs.us.txt, 3201, 1689, 1462, 1462
cir.us.txt, 3201, 1628, 1550, 1550
mvf.us.txt, 3201, 1611, 1354, 1354
too_b.us.txt, 647, 295, 332, 332
strt.us.txt, 3096, 1547, 1420, 1420
plm.us.txt, 3200, 1240, 1644, 1644
nep.us.txt, 852, 423, 418, 418
dtq.us.txt, 1286, 629, 604, 604
miy.us.txt, 3201, 1530, 1425, 1425
pcln.us.txt, 3201, 1614, 1585, 1585
xog.us.txt, 274, 126, 144, 144
trxc.us.txt, 5572, 1078, 1080, 1080
amlx.us.txt, 114, 27, 29, 29
scl.us.txt, 3201, 1626, 1549, 1549
ceco.us.txt, 4946, 2398, 2370, 2370
cltl.us.txt, 17, 5, 5, 5
cxdc.us.txt, 2203, 932, 1038, 1038
fnhc.us.txt, 3192, 1496, 1572, 1572
eyes.us.txt, 751, 280, 433, 433
sbux.us.txt, 6393, 3131, 3051, 3051
pds.us.txt, 3201, 1479, 1650, 1650
gbil.us.txt, 253, 74, 77, 77
jhd.us.txt, 381, 175, 164, 164
mmt.us.txt, 3201, 1555, 1206, 1206
btu_.us.txt, 14, 9, 1, 1
pery.us.txt, 3201, 1612, 1539, 1539
adus.us.txt, 2022, 1013, 956, 956
inxn.us.txt, 1707, 865, 817, 817
hog.us.txt, 3201, 1600, 1587, 1587
thr.us.txt, 1641, 862, 756, 756
cbli.us.txt, 2848, 1124, 1581, 1581
via.us.txt, 3005, 1486, 1489, 1489
era.us.txt, 1203, 572, 609, 609
bgca.us.txt, 1350, 744, 563, 563
gs.us.txt, 4661, 2362, 2282, 2282
vra.us.txt, 1775, 882, 874, 874
wkhs.us.txt, 466, 191, 264, 264
ff.us.txt, 1672, 805, 836, 836
corr.us.txt, 2713, 1340, 1273, 1273
tbi.us.txt, 3201, 1606, 1547, 1547
cphi.us.txt, 2959, 1108, 1278, 1278
csfl.us.txt, 3176, 1554, 1490, 1490
bsqr.us.txt, 3179, 1524, 1438, 1438
ggz_a.us.txt, 310, 111, 121, 121
ptie.us.txt, 3200, 1475, 1558, 1558
tyme.us.txt, 74, 23, 45, 45
mrcc.us.txt, 1270, 565, 663, 663
crm.us.txt, 3201, 1636, 1550, 1550
out.us.txt, 748, 368, 364, 364
gasx.us.txt, 489, 243, 246, 246
tef.us.txt, 3201, 1649, 1459, 1459
dtla_.us.txt, 674, 269, 310, 310
eig.us.txt, 2717, 1374, 1298, 1298
rbb.us.txt, 77, 46, 30, 30
abio.us.txt, 3201, 1270, 1695, 1695
cadc.us.txt, 2055, 795, 943, 943
mlqd.us.txt, 35, 0, 2, 2
ctas.us.txt, 6962, 3363, 3198, 3198
bk.us.txt, 8365, 3974, 3922, 3922
bkn.us.txt, 3201, 1627, 1420, 1420
qrhc.us.txt, 1842, 803, 681, 681
ezt.us.txt, 865, 369, 408, 408
xusa.us.txt, 200, 25, 26, 26
ry.us.txt, 3201, 1649, 1528, 1528
ctaa.us.txt, 450, 216, 216, 216
fmci.us.txt, 107, 42, 29, 29
mcr.us.txt, 3201, 1665, 1233, 1233
dukh.us.txt, 1216, 634, 520, 520
ssnc.us.txt, 1920, 1014, 880, 880
ago_b.us.txt, 1812, 863, 834, 834
cbio.us.txt, 2916, 1314, 1472, 1472
ms_f.us.txt, 986, 451, 483, 483
fico.us.txt, 3201, 1675, 1504, 1504
udbi.us.txt, 155, 41, 34, 34
cbshp.us.txt, 849, 366, 446, 446
hk-ws.us.txt, 172, 55, 58, 58
